epoch,train_loss_total,train_loss_coordinate,train_loss_bone,train_loss_symmetry,train_nme,train_pck_0.05,train_pck_0.10,train_pck_0.20,train_bone_length_error,train_seconds,monitor_loss_total,monitor_loss_coordinate,monitor_loss_bone,monitor_loss_symmetry,monitor_nme,monitor_pck_0.05,monitor_pck_0.10,monitor_pck_0.20,monitor_bone_length_error,monitor_seconds,learning_rate,batch_size,best_epoch,best_monitor_nme,epochs_without_improvement
40,0.014093588106404346,0.010829751579370071,0.009561453426380134,0.017469464793747218,0.12151032020682884,0.3021327539899807,0.6020519576501389,0.8562434498338681,0.06950851260902936,178.10025407373905,0.04851305586169481,0.042747734379138744,0.019703530193658957,0.016788737828471723,0.21222516560449076,0.20571994263930152,0.42042533778231544,0.663222374098591,0.0956267165823618,13.718425780534744,0.001,8192,36,0.2094653088209381,4
41,0.013755888797605033,0.010500161707497896,0.00943956452143554,0.017916716630822595,0.12002892647787333,0.3059589935658346,0.6074693806335563,0.8601493097252251,0.0690636109592879,150.9698794335127,0.047649397285573006,0.041857793867059054,0.019549698628726197,0.01808357189890792,0.21039061985296623,0.20793758390881562,0.4211984129096237,0.6665577041069898,0.0961739433180188,14.666107960045338,0.001,8192,36,0.2094653088209381,5
42,0.013848068585958148,0.010567766032975982,0.00945279850972059,0.018342057941779552,0.12030522354950292,0.3056545346086998,0.6060707741545132,0.8591611457318474,0.06905570503300087,133.4963188022375,0.047650921899046364,0.04186884175629627,0.019627988529584833,0.017501656407484266,0.2098641874370832,0.20941307356759534,0.4239461732707695,0.6679448052043633,0.09489943193774829,12.689069606363773,0.001,8192,36,0.2094653088209381,6
43,0.013664975875245906,0.010428295006115846,0.009393310081736935,0.017767067505696055,0.11955409579043766,0.3081112214385195,0.6090578619652366,0.8610191255403438,0.06879064467424222,140.16779030114412,0.04795778780066021,0.042174154096657125,0.019494977029455976,0.01819778438762353,0.2115687581340327,0.20290591641712205,0.4161313941110241,0.6630721803100471,0.0954499479095925,14.685796707868576,0.001,8192,36,0.2094653088209381,7
44,0.013539958446541258,0.010311289598527269,0.00933785148713682,0.01788412011259713,0.11904835831107129,0.30917254540757694,0.6110605433844282,0.8622767897548755,0.06870817122189385,156.50945681333542,0.048637668570892155,0.042771420375040746,0.019760114130383116,0.018524398605371313,0.21196169502711987,0.20091797666998237,0.4160209625242401,0.6641412472244214,0.0948800654361071,18.23116309940815,0.001,8192,36,0.2094653088209381,8
45,0.013545334455457221,0.010308167037185711,0.009340186461774539,0.018042414497283412,0.11877130858861948,0.3110278374023743,0.6129938386616446,0.8631439206300088,0.06850541236761304,116.89613534510136,0.04952922113351738,0.04365481461112438,0.019814366726917255,0.018416299919371843,0.2139507605358373,0.20383361325509342,0.4151374397745114,0.6570863388296743,0.09684487754244392,12.015049740672112,0.001,8192,36,0.2094653088209381,9
46,0.013287680690514943,0.010072581064353672,0.009250483177725172,0.018049574149305272,0.11770517414663914,0.3137368204411666,0.6166167502229598,0.8660858177123193,0.06821103239191238,145.1783130466938,0.048961792538403666,0.04302768039718299,0.01979992025342845,0.019682661823458805,0.2128231161845343,0.2049910328829323,0.41781008159696253,0.6601874732272259,0.09541318036292831,15.37228249758482,0.001,8192,36,0.2094653088209381,10
47,0.013138637607972879,0.009949301949017117,0.009200542668383705,0.017784001202710023,0.11713050997675765,0.31558995966626335,0.6185037791715507,0.8676511735325989,0.06800585820052914,139.30541893839836,0.04883805983336695,0.04304085361764201,0.019619938524112653,0.017844453822768155,0.211990898862694,0.20900223644934027,0.41998355845122476,0.6607485325078853,0.09530084018843597,19.256913170218468,0.001,8192,36,0.2094653088209381,11
48,0.012987794818486892,0.00982058406503017,0.00915373918106994,0.01757551852239492,0.1164769649583271,0.316999316344343,0.6219454101790932,0.8691073201423134,0.06782792556115823,137.68130603432655,0.047468416696005745,0.04169833269280135,0.019543167804770747,0.01768585367993279,0.209776913341347,0.21139217376049127,0.42520079235101915,0.6669906257138019,0.09356673167277388,20.651332587003708,0.001,8192,36,0.2094653088209381,12
49,0.01292235850350249,0.00977142223238502,0.009134312245459577,0.017347164312615338,0.11611354573810372,0.31891701098850694,0.6232907563102765,0.8700685955470371,0.06762907809863607,118.75753659754992,0.047745961413442686,0.042041501244249574,0.019495710303742093,0.016610679903899785,0.21088099323742554,0.2054283735471058,0.41813257549872046,0.6641810057158667,0.09625920274939045,15.736179038882256,0.001,8192,36,0.2094653088209381,13
50,0.01271886827618785,0.009602644723789938,0.009068420890148006,0.016982367293413153,0.11532542439156282,0.32107837842768816,0.6262907476768688,0.8721777847692894,0.06747022826844185,102.80391347408295,0.0473108474148843,0.04157839230863598,0.019550404178525944,0.01689707768042021,0.20922321690147047,0.21297367900375885,0.427444943249856,0.668563307349068,0.09352029036396221,14.286146752536297,0.001,8192,50,0.20922321690147047,0
51,0.01263970128695922,0.009537175727383005,0.009042915410595166,0.016835932022035045,0.11497650372938574,0.3224377132473149,0.628041148562787,0.8728206114538223,0.06730080261688934,122.60887602716684,0.04734271925549367,0.04159821348185442,0.019446663463098736,0.01765681127011057,0.20940445357899887,0.21074277393686225,0.4242863436176248,0.6671187295948495,0.09452107769940955,30.173929192125797,0.001,8192,50,0.20922321690147047,1
52,0.01254217518179908,0.009452750297838697,0.009001981162150646,0.01677859052556732,0.1145937852921137,0.3235840248474094,0.6291148327677607,0.873928729221594,0.06723297091708376,125.8204774260521,0.04755256057999315,0.04184512822310552,0.01951999925512412,0.0165486556549671,0.21038963268260152,0.207266108274305,0.42151647668113673,0.6638938544064759,0.09409615699273476,24.456724800169468,0.001,8192,50,0.20922321690147047,2
53,0.012384670630223972,0.009316948672622366,0.00895047772031838,0.01660205242042172,0.11379907661797424,0.3264253361129104,0.6324305909435836,0.8758103792579014,0.06688694916457387,154.12318041175604,0.0486801496171057,0.04292979783633879,0.019589542190720156,0.0170593356146991,0.21175922814113132,0.20749140632429772,0.41978919162136247,0.6609959180342243,0.095649000844075,14.474299132823944,0.001,8192,50,0.20922321690147047,3
54,0.012493333088396869,0.00940272903872138,0.008970041461453892,0.01696187287920068,0.11410716035781251,0.3258325407675717,0.6313945647203013,0.8751578763406305,0.06697798687140707,183.9429784566164,0.048082576269648264,0.042308768921848705,0.01968311384466331,0.01706060664082596,0.21068728368157277,0.2115291196002066,0.4241272984711342,0.6649761979909781,0.09396453160898341,24.169562928378582,0.001,8192,50,0.20922321690147047,4
